7/11/2020,Inv : Abrasive : Cutting : 1007.006.0001,Piece,2150.28,54,39.82,RawMaterialSemiManufacture,100000 Opening Balance,KIRNE (N),Khimti JVC
7/12/2020,Inv : Abrasive : Cutting : 1007.006.0002,Piece,2310,22,105,RawMaterialSemiManufacture,100000 Opening Balance,KIRNE (N),Khimti JVC
7/13/2020,Inv : Abrasive : Cutting : 1007.006.0003,Piece,5199.14,47,110.62,RawMaterialSemiManufacture,100000 Opening Balance,KIRNE (N),Khimti JVC
7/14/2020,Inv : Abrasive : Cutting : 1007.006.0004,Piece,7245,23,315,RawMaterialSemiManufacture,100000 Opening Balance,KIRNE (N),Khimti JVC
7/15/2020,Inv : Abrasive : Grinding : 1007.002.0001,Piece,3274.5,74,44.25,RawMaterialSemiManufacture,100000 Opening Balance,KIRNE (N),Khimti JVC
7/16/2020,Inv : Abrasive : Grinding : 1007.002.0002,Piece,2263,31,73,RawMaterialSemiManufacture,100000 Opening Balance,KIRNE (N),Khimti JVC
7/17/2020,Inv : Abrasive : Grinding : 1007.002.0003,Piece,2566.4,20,128.32,RawMaterialSemiManufacture,100000 Opening Balance,KIRNE (N),Khimti JVC
7/18/2020,Inv : Abrasive : Grinding : 1007.004.0002,Piece,57348.12,156,367.62,RawMaterialSemiManufacture,100000 Opening Balance,KIRNE (N),Khimti JVC
7/19/2020,Inv : Abrasive : Grinding : 1007.004.0003,Piece,100048.07,246,406.7,RawMaterialSemiManufacture,100000 Opening Balance,KIRNE (N),Khimti JVC
7/20/2020,Inv : Abrasive : Polishing : 1007.005.0005,Piece,13774.8,33,417.42,RawMaterialSemiManufacture,100000 Opening Balance,KIRNE (N),Khimti JVC
7/21/2020,Inv : Abrasive : Polishing : 1007.005.0006,Piece,98589.22,168,586.84,RawMaterialSemiManufacture,100000 Opening Balance,KIRNE (N),Khimti JVC
7/22/2020,Inv : Abrasive : Polishing : 1007.005.0007,Piece,111408.25,282,395.06,RawMaterialSemiManufacture,100000 Opening Balance,KIRNE (N),Khimti JVC
7/23/2020,Inv : AC Supply : 0098.001.0002,Piece,1050,1,1050,SparePart,100000 Opening Balance,KIRNE (N),Khimti JVC
7/24/2020,Inv : AC Supply : 0098.001.0003,Piece,3150,3,1050,SparePart,100000 Opening Balance,KIRNE (N),Khimti JVC
7/25/2020,Inv : AC Supply : 0098.001.0004,Piece,1300,2,650,SparePart,100000 Opening Balance,KIRNE (N),Khimti JVC
7/26/2020,Inv : AC Supply : 0098.001.0006,Piece,18700,1,18700,SparePart,100000 Opening Balance,KIRNE (N),Khimti JVC
