58457,7/16/2013,IA/N-0000001,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #2306,Himal Power Ltd (NPR),Aug 2013 [Shrawan 2070],KHIM1,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,-51,75.71921569
58458,7/17/2013,IA/N-0000002,14000 RawMaterialSemiManufacture,62500 PetrolPremises,,Lawnmour machine,Himal Power Ltd (NPR),Aug 2013 [Shrawan 2070],KHIM1,,,KIRNE (N),Inv : Fuel : 1014.001.0001,Litre,-5,111.922
58459,7/18/2013,IA/N-0000003,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,"OCB, Control room",Himal Power Ltd (NPR),Aug 2013 [Shrawan 2070],KHIM1,,,KIRNE (N),Inv : Fuel : 1014.001.0003,Litre,-0.5,71.96
58460,7/18/2013,IA/N-0000004,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #8392,Himal Power Ltd (NPR),Aug 2013 [Shrawan 2070],KHIM1,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,-37,75.71918919
58461,7/23/2013,IA/N-0000005,14000 RawMaterialSemiManufacture,63200 Waste/Water/Sewage/Etc,,Drinking water supply,Himal Power Ltd (NPR),Aug 2013 [Shrawan 2070],KHIM1,,,KIRNE (N),Inv : Additive : 1008.001.0005,Kilogram,-200,52.82
58464,7/24/2013,IA/N-0000006,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Maintenance at Power house,Himal Power Ltd (NPR),Aug 2013 [Shrawan 2070],KHIM1,,,KIRNE (N),Inv : Abrasive : Cutting : 1007.006.0004,Piece,-1,216.07
58465,7/25/2013,IA/N-0000007,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #8391,Himal Power Ltd (NPR),Aug 2013 [Shrawan 2070],KHIM1,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,-47,75.71914894
58467,7/25/2013,IA/N-0000008,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #4691,Himal Power Ltd (NPR),Aug 2013 [Shrawan 2070],KHIM1,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,-57,75.71929825
58468,7/26/2013,IA/N-0000009,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Drinking water supply,Himal Power Ltd (NPR),Aug 2013 [Shrawan 2070],KHIM1,,,KIRNE (N),Inv : Fuel : 1014.001.0003,Litre,-1,71.95
58469,7/26/2013,IA/N-0000010,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Maintenance at Power house,Himal Power Ltd (NPR),Aug 2013 [Shrawan 2070],KHIM1,,,KIRNE (N),Inv : Fuel : 1014.001.0003,Litre,-1,71.96
