161171,PI/N-0008692,7/11/2020,094,E5702070 (N) Bimala Khadka,Himal Power Ltd (NPR),Nepalese Rupee,KATHMANDU (N),Prashant Trade & General Suppliers,,Net 15,,,ADM,Approved,Stationery items,E5504033 (N) Krishna Pradhan,,approved vendor,,,,E5702070 (N) Bimala Khadka,E4810001 (N) Narayan D Devkota,No,No,1,"Prashant Trade & General Suppliers
Satdobato
Tachikhel
Lalitpur Bagmati 
Nepal",,,,,50568.NPR Prashant Trade & General Suppliers,7,,25306 TDSIndividualFirmVAT.NPR,ADM,KATHMANDU (N),0%,"TDS : NPR : Individual Firms, VAT'able",,,1,-399.5,0,ADM,KATHMANDU (N),,No,No,,,PO/N-0006792,(399.50), 0.00 ,(399.50)," 29,696.47 "
161173,PI/N-0008693,7/11/2020,Car Parking rent (Jan to june 020),E5702070 (N) Bimala Khadka,Himal Power Ltd (NPR),Nepalese Rupee,KATHMANDU (N),Kapil Shrestha,,Due on receipt,,,ADM,Approved,Car Parking rent (Jan to june 020),E5504033 (N) Krishna Pradhan,,As per attached,,,,E5702070 (N) Bimala Khadka,AJR17082018 Andrew J Rochmankowski,No,No,1,"Kapil Shrestha 
Jhamsikhel-2, Lalitpur 
Nepal 
Phone:+977 1 5522758 
Cell no: +977 9849034875",,,,,51192.NPR Kapil Shrestha,1,,63000 RentalPremises,ADM,KATHMANDU (N),0%,,,,,,0,ADM,KATHMANDU (N),,No,No,,,PO/N-0006783," 106,482.00 ", 0.00 ," 106,482.00 "," 95,833.80 "
161174,PI/N-0008694,7/11/2020,TI16271,E5702070 (N) Bimala Khadka,Himal Power Ltd (NPR),Nepalese Rupee,KIRNE (N),Saleways Departmental Store Pvt. Ltd.,,Due on receipt,,,KHIM1,Approved,Cleaning  items for office use and Food item for ABB engineer oand items for,E5504033 Krishna Pradhan,,invoice from departmental store,,,,E5702070 (N) Bimala Khadka,E5504023 (N) Shyam Prasad Bhatta,No,No,1,"Saleways Department Store
Nepal",,,,,50206.NRP Saleways Departmental Store Pvt. Ltd.,2,,25304 TDSPrivateLtdVAT.NPR,KHIM1,KIRNE (N),0%,"TDS : NPR : Private Ltd. Companies, VAT'able",,,1,-495.86,0,KHIM1,KIRNE (N),,No,No,,,PO/N-0006768,(495.86), 0.00 ,(495.86)," 36,859.15 "
161176,PI/N-0008695,7/11/2020,101,E5702070 (N) Bimala Khadka,Himal Power Ltd (NPR),Nepalese Rupee,KIRNE (N),MAC Traders,,Net 30,,,KHIM1,Approved,Ac repairing of surya karki and nawaraj,E5504022 (N) Rajiv K Ramdam,,"Quotation,25 june,2020",,,,E5702070 (N) Bimala Khadka,E5504026 (N) Om P Pokharel,No,No,1,"Prakash Khadha 
MAC Traders 
Sanepa-2, Lalitpur, Nepal 
Nepal 
Phone: +977 1 2298297 / 9851067082",,,,,52308.NPR MAC Traders,3,,25306 TDSIndividualFirmVAT.NPR,KHIM1,KIRNE (N),0%,"TDS : NPR : Individual Firms, VAT'able",,,1,-123,0,KHIM1,KIRNE (N),,No,No,,,PO/N-0006771,(123.00), 0.00 ,(123.00)," 9,143.00 "
161178,PI/N-0008696,7/13/2020,1808,E5702070 (N) Bimala Khadka,Himal Power Ltd (NPR),Nepalese Rupee,KATHMANDU (N),Shrestha Amrit Traders Pvt. Ltd.,,Net 30,,,IT,Approved,RICOH SP C232SF,E5504033 (N) Krishna Pradhan,,Quotation,,,,E5702070 (N) Bimala Khadka,AJR17082018 Andrew J Rochmankowski,No,No,1,"Shrestha Amrit Traders (P) Ltd.
Hattisar
Kathmandu Bagmati 
Nepal",,,,,50489.NPR Shrestha Amrit Traders Pvt. Ltd.,3,,25304 TDSPrivateLtdVAT.NPR,IT,KATHMANDU (N),0%,"TDS : NPR : Private Ltd. Companies, VAT'able",,,1,-1172.79,0,IT,KATHMANDU (N),,No,No,,,PO/N-0006749,"(1,172.79)", 0.00 ,"(1,172.79)"," 87,177.20 "
161180,PI/N-0008697,7/11/2020,3755,E5702070 (N) Bimala Khadka,Himal Power Ltd (NPR),Nepalese Rupee,KATHMANDU (N),Himalayan General Insurance Co. Ltd,,Due on receipt,,,PROC,Approved,Renewal cost of  CHPL “electric scooter”,E5504022 (N) Rajiv K Ramdam,,As per attached,,,,E5702070 (N) Bimala Khadka,E5204009 (N) Sunil Manandhar,No,No,1,"Himalayan General Insurance Co. Lt 
Uttardhoka, Lazimpat 
Kathmandu Bagmati  
Nepal 
Phone: +977 1 4442405, 4432156 
Cell Phone: +977 9851138505 
Fax: +977 1 4432136",,,,,50054.NPR Himalayan General Insurance Co. Ltd,1,,17000 PrepaidExpenses,PROC,KATHMANDU (N),13%,,,,,,13,PROC,KATHMANDU (N),,No,No,,,PO/N-0006747, 629.27 , 81.81 , 711.08 , 711.07 
161182,PI/N-0008698,7/11/2020,"76/7T10257,76/7T10239",E5702070 (N) Bimala Khadka,Himal Power Ltd (NPR),Nepalese Rupee,KATHMANDU (N),President Travel & Tours Pvt. Ltd,,Net 15,,,ADM,Approved,Air rental & cancellation charge,E5504022 (N) Rajiv K Ramdam,,As per attached,,,,E5702070 (N) Bimala Khadka,,No,No,1,"President Travel & Tours Pvt. Ltd
Durbar Marg
Kathmandu Bagmati 1307
Nepal",,,,,50210.NPR President Travel & Tours Pvt. Ltd,1,Travel: Air,71500 AirTravel,ADM,KATHMANDU (N),0%,,,,,,0,ADM,KATHMANDU (N),,No,No,,,PO/N-0006582," 19,500.00 ", 0.00 ," 19,500.00 "," 23,600.00 "
161193,PI/N-0008699,7/11/2020,192402000620,E5702070 (N) Bimala Khadka,Himal Power Ltd (NPR),Indian Rupees,KIRNE (N),ABB India Limited,,Due on receipt,EXW,,KHIM1,Approved,Spare Current Transformer and Voltage Transformer for Khimti i I Hydropower plant Kirne Dolakha Nepal,E5504022 (N) Rajiv K Ramdam,,“QT-18-01294909.E Dtd 10th Apr 2019”,,,,E5702070 (N) Bimala Khadka,,No,No,1.6015,"Mallikarjuna Rao 
ABB India Limited 
Maneja Works, Vadodara – 390 013 
Gujarat, India 
Phone: +91 80 2944 6661 
Mobile: +91 9901491067",,,,19025 (N) Spare parts 2019,52378.INR ABB India Limited,1,,66040 RepMaintElectroTechPlantInstal,KHIM1,KIRNE (N),0%,nonInv/Undef : Repairs : 66040.[Unit],pce,Piece,1,253000,0,KHIM1,KIRNE (N),,No,No,,,PO/N-0005704," 253,000.00 ", 0.00 ," 253,000.00 "," 770,000.00 "
161195,PI/N-0008700,7/11/2020,TI17459,E5702070 (N) Bimala Khadka,Himal Power Ltd (NPR),Nepalese Rupee,KIRNE (N),Saleways Departmental Store Pvt. Ltd.,,Due on receipt,,,KHIM1,Approved,Pressure cooker for guesthouse,E5504033 Krishna Pradhan,,invoice from departmental store,,,,E5702070 (N) Bimala Khadka,E5504023 (N) Shyam Prasad Bhatta,No,No,1,"Saleways Department Store
Nepal",,,,,50206.NRP Saleways Departmental Store Pvt. Ltd.,2,,25304 TDSPrivateLtdVAT.NPR,KHIM1,KIRNE (N),0%,"TDS : NPR : Private Ltd. Companies, VAT'able",,,1,-73.11,0,KHIM1,KIRNE (N),,No,No,,,PO/N-0006799,(73.11), 0.00 ,(73.11)," 5,434.89 "
161197,PI/N-0008701,7/11/2020,111,E5702070 (N) Bimala Khadka,Himal Power Ltd (NPR),Nepalese Rupee,KATHMANDU (N),S S Legal Pvt Ltd,,Due on receipt,,,HR,Approved,Monthly retention charge march & april 2020,E5504022 (N) Rajiv K Ramdam,,As per Agreement,,,,E5702070 (N) Bimala Khadka,AJR17082018 Andrew J Rochmankowski,No,No,1,"Sameer Sharma 
S S Legal Pvt Ltd 
Dhobidhara, Kathmandu 
Nepal 
Phone: +977 1 4011509 / 4011508",,,,,50963.NPR S S Legal Pvt Ltd,1,,67300 LegalService,HR,KATHMANDU (N),13%,,,,,,13,HR,KATHMANDU (N),,No,No,,,PO/N-0006699," 100,000.00 "," 13,000.00 "," 113,000.00 "," 111,500.00 "
