58083,8/7/2013,Aug 2013 [Shrawan 2070],599504960,50918.NPR Ncell Private Limited,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NCELL-Mobile-Ashadh'70,ADM,KATHMANDU (N),,,,Nepalese Rupee,1,Bill #NCELL-Mobile-Ashadh'70," 26,822.25 ",Bill #NCELL-Mobile-Ashadh'70,1,"Ncell Private Limited 
Krishna Towers 
New Baneshwor 
Kathmandu Bagmati  
Nepal",Payment,24000 AccountPayable,"($26,822.25)",E5702070 (N) Bimala Khadka
58090,7/30/2013,Aug 2013 [Shrawan 2070],5995043-1,E5204009.NPR (N) Sunil Manandhar,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,Bill #Opening balance transfer, 500.00 ,Bill #Opening balance transfer,1,"Mr. Sunil Manandhar 
Bijaya Niwas 
Jhamsikhel 
Lalitpur Bagmati 12740 
Nepal",Payment,24000 AccountPayable,($500.00),E5702070 (N) Bimala Khadka
58408,8/16/2013,Aug 2013 [Shrawan 2070],Cash-218,ETL.NPR (N) Tom K Larsen,Himal Power Ltd (NPR),19000N PettyCash/NPR Kathmandu (N),,GM,KATHMANDU (N),,,,Nepalese Rupee,1,Bill #Opening balance transfer," 244,280.00 ",Bill #Opening balance transfer,1,"Tom K Larsen 
Bijaya Niwas 
Jhamsikhel 
Lalitpur Bagmati 12740 
Nepal",Payment,24000 AccountPayable,"($244,280.00)",E5702070 (N) Bimala Khadka
58410,8/23/2013,Sep 2013 [Bhadra 2070],PI Kirne #40,E5504035 (N) Chaman S B.K.,Himal Power Ltd (NPR),19212N NMB/NPR0200010920300012 CUR  (N),Travel expenes HW # Chaman,KHIM1,KIRNE (N),,,,Nepalese Rupee,1,Expense Report #EC/0000770, 560.00 ,Expense Report #EC/0000770,1,"Mr. Chaman Singh B.K. 
Sahare VDC-4 
Kirne 
Dolakha Janakpur  
Nepal",Payment,24000 AccountPayable,"($2,690.00)",E5503049 (N) Surya B Karki
58414,8/23/2013,Sep 2013 [Bhadra 2070],PI Kirne#40.,E5504026.NPR (N) Om Pokharel,Himal Power Ltd (NPR),19212N NMB/NPR0200010920300012 CUR  (N),NHE Runner inspection expenses- old expenses 000757,KHIM1,KIRNE (N),,,,Nepalese Rupee,1,Bill #7 invoice," 1,985.00 ",Bill #7 invoice,1,"Mr. Om Prakash Pokharel 
Sahare VDC-4 
Kirne 
Dolakha Janakpur  
Nepal",Payment,24000 AccountPayable,"($1,985.00)",E5503049 (N) Surya B Karki
58415,8/23/2013,Sep 2013 [Bhadra 2070],Sep 2013 [Bhadra 2070],E5503051.NPR (N) Yagya Karki,Himal Power Ltd (NPR),19212N NMB/NPR0200010920300012 CUR  (N),Travel expenses of Singati visit,KHIM1,KIRNE (N),,,,Nepalese Rupee,1,"Bill #063,375"," 6,230.00 ","Bill #063,375",1,"Mr. Yagya Bahadur Karki 
Sahare VDC-4 
Kirne 
Dolakha Janakpur  
Nepal",Payment,24000 AccountPayable,"($6,230.00)",E5503049 (N) Surya B Karki
58416,8/23/2013,Sep 2013 [Bhadra 2070],PI Kirne #40 (2),50301.NPR HPL Staff-,Himal Power Ltd (NPR),19212N NMB/NPR0200010920300012 CUR  (N),snacks shrawan 2070 and medical expeses,KHIM1,KIRNE (N),,,,Nepalese Rupee,1,Bill #41796," 34,099.00 ",Bill #41796,1,,Payment,24000 AccountPayable,"($35,649.00)",E5503049 (N) Surya B Karki
58418,8/18/2013,Sep 2013 [Bhadra 2070],27093,E5702074.NPR (N) Toran Khadka,Himal Power Ltd (NPR),19212N NMB/NPR0200010920300012 CUR  (N),Expenses of road blockage at Bhirkot,KHIM1,KIRNE (N),,,,Nepalese Rupee,1,"Bill #1805,4551,4504"," 10,375.00 ","Bill #1805,4551,4504",1,"Mr. Toran  Khadka 
Sahare VDC-4 
Kirne 
Dolakha Janakpur  
Nepal",Payment,24000 AccountPayable,"($10,375.00)",E5503049 (N) Surya B Karki
58427,8/25/2013,Sep 2013 [Bhadra 2070],PI Kirne #41(1),50804.NPR New Bishnu Kirana Store,Himal Power Ltd (NPR),19212N NMB/NPR0200010920300012 CUR  (N),Payments of various  good supply.,KHIM1,KIRNE (N),,,,Nepalese Rupee,1,"Bill #943,945,936949,948,947,950"," 4,357.00 ","Bill #959,969,968,953,954,955,956,940,932,939,912",1,"New Bishnu Kirana Store 
Shahare 
Dolakha Janakpur  
Nepal",Payment,24000 AccountPayable,"($70,149.14)",E5503049 (N) Surya B Karki
58428,8/25/2013,Sep 2013 [Bhadra 2070],PI Kirne #41(2),"50950.NPR HPL Guesthouse, Kirne (Shyam/Om Prakash/Sarita/Gyan)",Himal Power Ltd (NPR),19212N NMB/NPR0200010920300012 CUR  (N),Various Guest house bill,KHIM1,KIRNE (N),,,,Nepalese Rupee,1,"Bill #3032,3036,3038,3030,3031,3027,3029,3025,3037,"," 29,005.00 ","Bill #3032,3036,3038,3030,3031,3027,3029,3025,3037,",1,"HPL Guest House Kirne-(Committee a/c 02000011605R) 
Kirne 
Dolokha Janakpur  
Nepal",Payment,24000 AccountPayable,"($37,550.00)",E5503049 (N) Surya B Karki
